1,1,ESSAY WRITINGQ1.Essay-1:1.Helping the people if we are in high position is very great. My favourite movie is Srimanthudu. In this movie some of the staff of hero’s company invites him and his family for the celebrations of Sri Rama Navami but hero’s father refuses to go to their celebrations because he arranged another party at his home. Hero alone goes to the celebration and attend the celebrations of their staff and wins their heart. In this movie hero takes all the responsibilities of his village and develops his home town without any help from the government and not expecting anything from the people. So I liked the movie. In this movie the screenplay and taking is very good. In this film he shows the character of hero in a different way i.e. his eagerness to develop his home town.2.The second movie I like is Despicable Me. It is an animated movie. In this movie he shows a very different technology. In this movie the hero wants to be a great villain by stealing anything great. At first the Pyramid is being stolen by another villain. Then hero will get disappointed and plans to steal the Moon. In the process of stealing the moon he came across three little girls and adopt them. These girls turns the hero from a great villain to a great father. He meet the girls when he want to steal a thing from the villain. In this movie the thing I liked the most is the minions who are employees in the hero’s secret lab.Q2.Essay-1:Travelling helps to come closer to who we really are. So I love travelling. The places I like to go are the hill stations. I like to go to Ladakh which is situated in the state of Jammu and Kashmir. The place is surrounded by the mountain ranges and valleys. The weather over there is very cool and pleasant. The place has the Baltistan valleys and the entire upper Indus valley and many more are present in Ladakh range. In Ladakh region different types of people live. Some are the Muslims and some are Buddhists .The culture in that region is very different. Many festivals are celebrated over there. The main festival is Hemis festival which is celebrated in the month of June to commemorate the birth of Guru Padmasambhava. The music is also very different. The music instruments include surna and dhaman. On the day of festival they sing and dance and enjoys the festival together. The things I like in Ladakh are the rock carving the hills mountains and valleys and the vegetation. In this place they melt the snow and construct long channels cutting the granite mountains and gravel slopes. So I like to travel to Ladakh.Essay-2:Playing and studying are both important to the children to develop their personality. If children focusses only on studying then they will not get physically fit. Playing is the way to relieve stress. So it is very important. So the school should not extend the school should not extend the timings. At the small age if the children are made to study always then the children are stresses and they cannot focus on one work. Paying is essential for development because it contributes to the cognitive physical social and emotional well-being of the children. It also provides opportunity for parents to engage with their children. It also give many friends to the children. In olden days the children like to play. Now-a-days the children are addicted to the electronic gadgets due to which the children are mentally disturbed. Their min is not properly developed and are facing many problems. They are not physically fit. So due to the above reasons the school should not extend the time for studying. If they want to extend the school timings then they have to provide some time for the children to play. So that the children does not get stressed.
1,10,Q. Make the sentences more concise:1. We certainly hope this decision won’t have a negative impact on the reputation of our firm.We hope the decision won’t have a negative impact on firm reputation.2. Basically what the training program is going to do is prepare each and every one of the participants for their certification test that they will take soon.The training program prepares every participant for their certification test3. Could you recommend to us someone in the area who works as a contractor?Could you recommend us a contractor.4. There is a possibility that I might get together with some of the people in my MBA program this weekend.I might get together with some people in my MBA program this weekend.5. She is professional courteous and she always comes to work on time.She is professional courteous and come to work in time.6. The problem was addressed at our meeting that we have every week.The problem was addressed at our weekly meeting.7. Please talk to John and tell him about the benefits of the deal and that he should accept it.Talk to John the benefits of accepting the dealTalk to John the benefits of deal and also to accept it.8. The primary role of our recruiters is to search for and locate professionals with good qualifications who live in our area.The recruiters should search for people with good qualification in our area. 9. Carlos speaks English fluently and can also speak Portuguese at an intermediate level and in addition he is capable of conversing in German.Carlos can speak English Portugese and also can converse in German. 10. It’s a really excellent opportunity and one that you should definitely take advantage of.It is an excellent opportunity you should take advantage of.
1,11,Creative WritingA Photographer has got a chance for video coverage at a wedding reception. He was a very good photographer and he had a lot of experience in this field. He is making all the things ready for the wedding reception. While he is searching for something he found some of the old photographs which he took before coming into this profession. At the initial days he don’t have the idea of becoming a photographer. When he and his friends went for a picnic. At that time he had taken many photographs. By seeing this photographs his friends said that his photography was excellent. Then they encouraged them to become a photographer. The occasion photograph is more of a hobby but he is interested in wildlife photography. When he went to the forest for the first time he was very nervous and he did not know how to manage to take photos of the wild animals. At the first time he failed to take the photographs. He did not lose hope and sometime in the December he went to the forest for the second time. At this time he tried and tried and got the photographs nicely. As he failed for the first time he did not lose his hope. He built self-confidence himself and then he got the photographs. He learned that one should not lose hope if they fail for the first time. They have to gain experience from it and identify their mistakes and should proceed further. He said to himself that important decision must me made that he should be confident in whatever the work he is doing.
1,13,1)---------------------------------A. NareshIf you see someone without a smile give them one of yours2)-------------------------------A. NareshMSIT 1st yearIIIT Hyderabad+91 9581614424
1,14,To: Subject: Regarding Performance FeedbackHello Harish I like to congratulate on your new Job at the ABC technologies. I came to know that you got a new project. I hope that you will achieve the target in time. As I am the team leader I just want to discuss some important things with you. You are very good at technical knowledge but have a drawback of doing the work alone and not coping up with all your team members. So I suggest you to overcome in this aspect. I also got a feedback from our clients that you are good at content but you can’t explain it effectively. I suggest you to follow a different way of approach. The third thing is that you are aggressive which leads to spoil the relationships. So develop the quality of assertiveness. I wish you all the best for your new career and project.Thanks & Regards----------------------------Naresh ArthamTeam LeaderABC technologies9581614424
1,2,Writing Task-1:In the lecture we heard about the Altruism which we normally see in humans and animals. It is the opposite of selfishness. In this lecture the Meerkat is the mammal that stands as a guard when other animals are in pursuit of their prey. In this the chance for the guard Meerkat for escaping from the predator is quiet easy but for the other animals it is very hard. They are in the danger position. If we consider the humans if anyone donates a kidney to the other person who is a relative of that particular person or a stranger. Then he is appreciated by the family and the society. But in the case of Meerkats one Meerkat can easily escape from the predator by running in the burrow but the other animals who are in search of their prey are in the danger position. The author opposes this in the lecture .The animals also sacrifice their food and also their life for the sake of the other animal or a group. So one should develop Altruism so that they will be appreciated by the society. So the Meerkats are a good example for Altruism. Writing Task-2:Now-a-days many children are seeking independence from their parents and some want to live with their parents. If the children are staying away from their parents and living independently many problems occur sometimes. If we live with our parents we can live happily and we can help our family. These days people are giving importance to the money but not the relationships. The people are not close to one another. For example let us take a student who lives independently. If he is given lots and lots of money then he will get addicted to some bad habits and sometimes he might use the money for the wrong purpose. But if we people live with our parents their is no chance for them to get addicted to a bad habit. It depends on the mindset of the person and also the circumstances he face daily. The situations around them will change their mindset. Some people want to live independently. If they live independently they can study well and makes it easy for them to achieve their goal. If we observe outside many people are studying or doing the jobs lonely living away from their parents. The people should be given individuality so that they can focus on their goals. But living with the parents will help one to develop good qualities and also a good behaviour. These days people are lacking the qualities of good. So the young adults should live with their parents only. The parents should not restrict the children to a certain things because they will become rude and they get habituated to certain things. One should understand the situation and behave accordingly.
1,3,TASK-1 HOW TO SPEAK SO THAT ALL PEOPLE CAN LISTENIn this video we learnt about speaking and the different types of speaking generally people follow. Generally people speak in seven different types. They are GossipsJudgingNegativityComplaining.ExcusesLying Dogmatism The above seven are the bad acoustics in speaking. To deliver our speech effectively we should not use any of this above methods. In this he explained about the word hail which tells about speaking and what each word represents.H – Honesty be clear and straight.A – Authenticity be yourself.I – Integrity be your work.L – Love wish them well.The tool box of speaking contains the following:Register: Style of speaking.Timbre: Voice clarity and quality.Prosody: Related to phonetics.PacePitch: Voice frequencyVolume: Loudness of our speech.
1,4,E-Mail WritingFrom: NareshTo: HasmithaisCc: ArunSubject : Arun meet Hasmithais. Hasmithais meet Arun.Arun I want to introduce you to Hashmithias. She is a good and efficient content developer and has a experience of 10 years and I know you are looking for a content developer. She has worked in Infosys and Cognizant. She is one of the member who developed the software for the suggestion that we get in Google search engine . She is a good friend of mine.Hashmitias I want to introduce you to Arun. He s working in Mindtree company for 12 years. He is the project manager and he has undertaken many projects in the company.He is good at developing Android application. You both grew up in Hyderabad and now based on Mumbai.Arun – will you follow up with Hashmitias over email to setup a phone call?ThanksNaresh
1,5,When I was looking for some career websites this week I noticed that your company has a slot open for an intern this summer. The position sounds odd. Can you please email me about the application process?
1,6,Writing Task-1The lecture is about the Professors advantages and disadvantages of appearing in the T.V. It is helpful for the public to know about the newly developed concepts and equipment. By giving the lectures in the television professors have some advantages and disadvantages. The professor appear in the television as guests to some shows and they appear inn television for explaining the research work they had done and in many ways. The advantages are that they can share the knowledge with many people. It gives honor to the professor and also the university in which he works also get a good name. By giving seminars in the television they get reputation in academics and also among his colleagues. The university gets a positive publicity and reputed in that locality or area. The disadvantages by giving seminars or lectures in the television is that they has a lot of wastage of time for preparing the lecture reharsing the lecture travelling and delay in the start of the program. It any professor continuously give the lectures in television will not be available for the students in the university which brings bad name for him in the university. Given lectures in the television helps many people who has eager to know about new things but the professor should be available for the university also. So the professor should give lecture in the television but not all the time. Writing Task-2“Young people enjoy more than the older people do.”Young people enjoy more than the old people is the correct statement because they have the time and energy in that stage but old people don’t have as much as the young people. Generally in the college days the young people in groups will go to the recreation places ad also visit many sightseeing places along with their friends. Young people have the habit of enjoying free time with the friends and family whereas the old people don’t have the energy and tendency of their mind towards the enjoyment. As the old people work harder daily so in the free times they want to take rest instead of enjoying. For example let us consider the college students who were studying engineering has vacations in their academics. In this vacation time some students group together and make a plan and go to the hill stations like Kulu Manali Araku Ladakh and many other places. The older people get less number of holidays in which they will stay back at home with their family and play with their children and by taking rest. There are also some situations where old people enjoy more than the young people. For example if we consider a group of people who are friends for many years will form a group and organize an event for the vacations and holidays they get. They form a Syndicate and they conduct meetings and they will discuss about an event and then organise the event.If we consider in general young people only enjoy more than the old people because of their schedule and friends. Old people enjoys less because of their work stress and the little free time they get to enjoy. Only some of the exceptional old people enjoy more than the young people. So as per the view of mine young people enjoy more than the old do.
